1
1,44281385265559
1,88562770531117
2,32844155796676
2,77125541062234
3,21406926327793
3,65688311593351
4,0996969685891
4,54251082124468
4,98532467390027
5,42813852655585
5,87095237921144
6,31376623186702
6,75658008452261
7,19939393717819
7,64220778983378
8,08502164248936
8,52783549514495
8,97064934780053
9,41346320045612
9,85627705311171
10,2990909057673
10,7419047584229
11,1847186110785
11,627532463734
12,0703463163896
12,5131601690452
12,9559740217008
13,3987878743564
13,841601727012
14,2844155796676
14,7272294323231
15,1700432849787
15,6128571376343
16,0556709902899
16,4984848429455
16,9412986956011
17,3841125482567
17,8269264009122
18,2697402535678
18,7125541062234
19,155367958879
19,5981818115346
20,0409956641902
20,4838095168458
20,9266233695013
21,3694372221569
21,8122510748125
22,2550649274681
22,6978787801237
