-0,779616854963286
0,088740306820314
0,732055449036117
0,990572325330816
1,00656935929613
0,88876331035887
0,704643240607753
0,494033755425697
0,279876693941832
0,0750135455165966
-0,113744298071562
-0,283185359923152
-0,432237276324851
-0,561080644956298
-0,670607315316523
-0,762087831428393
-0,836967450151294
-0,896742030980938
-0,942883933235973
-0,976799368152244
-0,999805549283191
-1,01312024879358
-1,01785903832577
-1,0150371854987
-1,0055742599524
-0,990300201349187
-0,969962055154699
-0,945230877606064
-0,916708504351013
-0,884934003264811
-0,850389713862808
-0,813506828499248
-0,774670504024227
-0,734224513277012
-0,692475458060238
-0,649696571960961
-0,606131144499356
-0,561995598892938
-0,517482255092649
-0,47276180825736
-0,427985550869047
-0,383287364504434
-0,338785505032411
-0,294584202802011
-0,250775097284303
-0,207438523667448
-0,164644667093437
-0,122454598572369
-0,0809212051127449
-0,0400900252569185
